"","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","P024","P025","P026","P027","P028","P029","P030","P031","P032","P033","P034","P035","P036","P037","P038","P039","P040","P041","P042","P043","P044","P045","P046","P047","P048","P049","P050","P051","P052","P053","P054","P055","P056","P057","P058","P059","P060","P061","P062","P063","P064","P065","P066","P067","P068","P069","P070","P071","P072","P073","P074","P075","P076","P077","P078","P079","P080","P081","P082","P083","P084","P085","P086","P087","P088","P089","P090","P091","P092","P093","P094","P095","P096","P097","P098","P099","P100"
"ITIH6",4.14071,3.94523,4.1718,4.01871,4.21575,4.24013,4.19444,3.83877,4.27453,4.04041,4.37164,4.30593,4.12283,4.18062,4.2335,4.12862,4.12644,4.11532,4.4293,4.34763,4.24037,4.11056,4.18702,3.92002,3.98962,3.90063,4.2973,4.0054,4.20108,4.05751,4.25608,4.21965,4.44203,4.34595,4.2578,4.40445,4.5512,4.32519,4.1853,4.01671,4.2178,4.63134,4.03696,4.09294,4.28229,4.22393,3.7882,3.83198,4.32041,4.0922,4.27629,4.18853,3.95884,4.30803,4.22299,3.92557,4.31013,4.45921,4.09095,4.26963,4.24024,4.0241,4.16137,4.03614,4.49259,4.21781,4.35424,4.27749,4.33847,4.43316,4.26335,4.45224,4.04828,4.24984,3.9741,4.05281,4.05185,4.22425,4.1207,4.05315,4.20272,4.33008,4.34245,4.09754,4.42865,4.15373,4.29574,4.2382,4.18023,4.18922,4.27264,4.71323,4.21065,4.25138,4.59909,3.99897,4.28774,4.27054,3.88732,4.00895
"XPO1",11.42303,11.04257,11.58351,11.30995,11.23139,10.62152,11.06538,11.50944,11.36557,11.11153,10.92256,11.09305,11.19894,12.03004,11.70221,11.13681,11.56787,11.12451,11.06991,11.4774,10.99354,10.99023,10.79472,11.22476,11.38087,11.56597,11.03326,11.785,11.77468,11.60478,10.80928,11.8475,10.99899,12.24094,11.73553,11.39624,11.28259,11.12019,10.94104,11.98296,10.71019,11.26682,11.21995,11.02131,11.49877,10.84942,11.32768,11.34878,11.617,11.48597,10.75867,11.22693,11.42366,10.52462,11.66071,11.13941,11.11971,11.37457,11.43202,10.50182,12.16593,12.67295,10.92334,11.14444,11.0426,11.4721,10.98713,11.37932,10.94437,11.15501,11.46152,10.72296,11.19066,11.45212,11.19891,10.75062,10.68567,11.44449,11.08068,11.47834,11.37416,10.75419,10.71558,11.93845,10.94173,10.88355,10.59427,11.33859,11.11294,10.85046,12.08514,10.98493,11.68697,11.05101,10.92555,11.15798,11.02182,11.66245,11.67392,11.57658
"BLMH",8.80825,7.70999,8.85556,8.90171,8.68029,8.25461,7.08462,9.35386,7.83889,7.95862,7.23709,9.47335,7.20476,9.37622,6.77547,9.4876,8.81114,6.82113,8.54535,9.53604,7.37902,8.28068,6.5471,9.46986,8.50175,9.09481,7.84863,9.24363,8.32766,7.94316,7.37284,9.44083,7.53084,10.28372,9.41189,8.03431,8.59614,9.61494,7.75034,9.57592,7.56739,8.60033,9.43107,8.16575,7.81298,8.05701,9.43842,8.60051,7.70937,6.9682,7.61858,8.55953,9.12887,7.73397,7.66488,6.57171,7.02723,8.44275,8.1126,7.56869,10.09775,8.77934,7.09576,6.09673,8.09518,7.84012,8.78447,7.22245,7.73996,6.90555,10.12066,7.34762,8.38458,8.99993,8.30469,6.91979,7.59571,8.32218,7.84913,8.82499,7.56089,8.41673,8.30751,9.48938,8.53762,7.91226,8.05057,9.55005,8.56309,7.8252,8.38062,8.12612,8.5133,7.53713,8.45748,7.70049,8.90867,9.15108,7.90285,9.07904
"RERGL",3.41063,3.68025,3.8063,3.65602,4.44499,3.56094,3.8351,3.48002,3.72822,3.70213,3.70353,3.77087,3.64096,3.77172,3.70097,3.52625,3.57869,3.93584,4.13394,3.63831,3.79053,9.76649,3.71016,3.49846,3.17702,3.42527,3.49381,3.50151,3.80051,3.95898,3.97253,3.50306,8.82156,3.47179,3.8559,3.82052,3.49913,3.5282,3.78208,3.51175,3.68877,3.82562,3.5596,3.65043,3.78771,6.37417,3.54276,4.04023,3.65414,3.65399,3.7562,3.59763,3.5159,3.63692,4.89889,4.09824,3.68169,3.92148,3.37661,4.20806,3.37481,3.70751,5.16789,4.13897,3.46246,3.68355,3.70866,3.48625,3.80287,3.43211,3.79677,3.58815,3.41701,3.62656,3.69294,4.62352,4.0172,3.72748,4.57668,3.62094,3.7643,3.54792,3.87844,3.59751,3.71739,3.62985,4.56989,3.76156,3.4659,3.71034,3.59785,3.63802,9.446,8.18071,3.47842,3.71092,3.53026,3.67108,3.72002,3.53021
"PRSS37",4.65525,4.50495,4.60606,4.76177,4.73183,4.62164,4.48579,4.44267,4.54916,4.53579,4.80584,5.01561,4.47729,4.95952,4.44317,4.96412,4.68984,5.07309,4.93796,4.94325,4.99264,4.59375,4.86975,4.86527,4.42342,4.51329,4.59119,4.24934,4.56044,4.62001,4.50161,4.61892,4.88657,4.81233,4.49352,4.59119,4.69547,4.4468,4.83061,4.61328,4.73651,4.58179,4.63811,4.65561,4.66785,4.65446,4.46472,4.4808,5.00155,4.87856,4.93836,4.58665,4.74873,5.05995,4.4728,4.63836,5.12133,4.91444,4.54839,5.16636,4.68053,4.8225,4.63532,4.73185,5.14789,4.35544,6.19959,4.90957,5.26477,4.85591,4.75349,4.60203,4.74872,4.55169,4.6601,4.5407,4.43615,4.52642,4.65479,4.7148,4.96374,4.45493,5.36166,4.71984,5.04401,4.72409,4.90871,4.9321,4.66277,4.53714,4.6054,4.81199,4.72107,4.54154,4.90078,4.70956,4.83709,4.40287,4.62033,4.89118
"THBS4",6.88306,6.89595,6.3507,6.60768,6.73681,6.17819,7.18093,6.33906,6.49109,8.82457,7.77455,6.96757,6.23745,6.93625,6.2251,7.18863,6.09444,7.71687,6.5987,6.95929,6.24589,7.72195,7.4229,6.50476,6.41262,7.16788,6.32352,6.31695,6.6494,6.19218,6.63889,6.21403,6.68549,6.49355,6.82355,6.37555,6.31002,6.50173,6.45955,6.61422,7.51747,6.07721,6.56952,6.6575,10.04716,6.24322,7.94278,6.16611,6.23038,6.522,7.38909,7.56084,6.352,7.2967,6.64461,7.25941,6.38128,6.16518,6.20954,6.42889,6.80312,6.11853,8.00954,6.49224,6.11061,7.84708,6.80833,10.11919,6.45238,6.88885,7.48339,6.4901,6.67692,6.85222,6.35718,6.81983,6.96901,6.68786,8.97677,6.42295,6.02552,6.67199,6.40691,6.66962,6.23833,6.56134,6.50787,6.64999,6.37069,6.86531,6.27073,8.5752,7.35551,7.10239,7.02968,6.42955,6.19718,6.67065,6.20174,6.90595
"BLZF1",5.00704,4.3639,5.95153,3.82035,4.90846,3.88689,4.70083,4.38171,4.17434,5.26005,4.24794,4.14043,5.11932,3.66931,4.70343,3.73139,5.06586,4.76038,3.84007,3.62507,5.75713,4.29032,4.6809,4.28911,4.93778,4.503,4.74328,5.14877,4.20426,5.45407,4.90089,4.27113,4.28297,3.97131,4.53735,5.60832,4.31548,4.75912,5.39149,4.59205,5.07527,3.9053,5.77965,3.93038,5.15904,4.80915,4.51209,4.68866,5.96799,5.09319,3.9237,5.75512,4.17919,3.75689,4.33546,4.37742,4.57631,4.2045,3.90748,4.19389,4.45831,4.55627,4.97925,6.5739,4.02935,4.45248,4.20536,5.40619,4.4407,4.31946,4.26125,4.67556,4.23208,4.64426,5.13459,5.02963,4.71253,4.73857,5.61432,3.74122,5.22643,4.84534,4.04122,4.56237,3.8425,5.60751,4.05373,4.20995,5.23202,4.53909,5.58324,4.79632,4.20518,5.02768,4.54946,4.62893,4.14213,3.7215,6.3357,4.63879
"CCDC85A",5.70665,5.94705,6.22829,5.28918,5.96121,6.20132,6.03233,5.45954,5.55404,6.10886,6.23574,5.61864,6.02736,5.61683,5.56471,5.64902,5.4776,5.44571,5.37245,5.32572,5.32224,5.71888,6.70957,5.57327,6.02274,5.39475,5.13541,5.49176,5.97212,5.68705,5.98159,5.70208,5.58641,5.94616,5.41066,5.31821,5.31577,6.10239,5.81168,5.51678,5.64252,6.12846,5.56018,6.15914,6.67248,5.51936,6.0425,5.9586,5.42532,5.55056,6.13648,6.10346,6.27651,6.55223,6.6233,5.87169,5.78545,5.70624,5.64691,5.75828,6.10445,6.37163,5.39684,5.74501,7.04707,5.58924,5.55323,5.56872,5.80363,5.67383,5.41282,5.92604,5.59369,6.19867,5.5765,5.76006,6.53805,5.28847,5.71246,5.73026,5.25211,6.60713,5.88574,5.83119,5.77855,5.95105,5.95464,5.78559,5.72165,6.10993,5.39731,6.66648,5.79354,6.20093,5.78838,6.22277,5.606,5.76142,6.18713,5.92217
"ZNF143",8.48911,8.43001,8.53744,8.25105,8.6424,8.34888,8.3109,8.60987,8.22944,8.09411,8.22938,7.91783,8.02272,8.18802,8.37052,7.96416,8.49225,7.96405,8.1677,8.1372,8.22349,8.70883,8.04216,8.08075,8.17232,8.42046,8.53105,8.90642,8.05849,8.1515,8.01905,8.47839,8.44194,8.24916,8.3977,8.88045,8.59414,8.2483,8.54673,8.66039,8.15736,8.00339,8.39771,8.35938,8.63659,8.2672,8.44511,8.83822,8.51752,8.78971,7.90543,8.53012,8.19926,7.83556,8.86494,8.12713,8.08019,8.22315,8.73909,7.91914,8.1737,8.82533,8.18664,8.87378,8.24837,8.56497,8.25405,8.64092,7.96638,8.19918,7.98633,8.0458,9.10431,8.38903,8.61051,8.62432,8.34226,7.99426,8.3343,7.9963,8.74562,8.50994,8.17146,8.63974,7.9934,8.29081,8.41825,8.93048,8.35109,8.45943,8.1865,8.06711,8.48704,8.21278,7.95103,8.81893,8.41425,8.56344,8.73608,8.43131
"PAX8-AS1",8.08224,6.86852,5.30071,6.79055,8.14468,6.99759,7.60721,7.80482,6.0139,5.1686,7.89054,7.61203,8.06933,7.27568,9.31419,8.12543,7.07917,8.39362,6.54272,7.15668,9.02458,4.81539,7.98487,8.76741,5.28418,7.64718,8.02453,8.56393,6.24835,8.00369,7.70916,5.51494,5.37224,7.13953,7.5844,8.18806,8.49107,5.52962,8.01158,7.62568,7.92069,5.50282,8.45464,8.72922,8.62703,8.72458,5.48298,8.11197,7.88452,7.83997,5.80077,5.3772,5.94749,5.81906,5.89587,5.04446,7.1329,6.04338,5.60837,6.30678,5.6656,5.61917,8.03569,5.21161,7.76833,5.5251,5.65372,5.27932,5.85406,7.84291,7.73465,5.15505,8.25697,7.86577,5.77884,6.2039,5.5622,5.4787,7.25579,7.35944,7.64152,8.29133,5.99842,5.63498,6.68711,6.16913,7.0059,7.60956,6.3685,6.96415,7.92353,5.41819,5.91884,7.39111,5.96992,5.40914,7.17177,7.87216,7.00922,7.10921
"SLC25A37",7.23168,8.12613,6.5614,7.24978,7.43848,7.64138,9.18189,6.93118,7.04438,6.77217,8.45272,7.18465,7.57154,7.52954,6.99281,6.87853,7.38872,7.6043,6.58381,6.99563,7.38337,7.8105,7.85565,6.45208,7.17394,7.3121,8.16346,7.18483,6.61692,6.78771,7.23136,7.57771,9.22507,6.53741,7.48726,7.73474,7.10723,7.14841,6.52393,6.63548,8.0619,7.94557,6.9473,7.83939,6.84237,8.5479,7.43089,8.02265,6.84204,7.88758,6.68278,7.55729,7.11533,9.44477,7.016,8.32262,7.39836,9.5776,8.61603,7.32511,7.67786,7.14137,7.30038,7.86284,7.98621,6.86704,7.13999,8.14257,7.85759,8.61753,6.63469,11.16649,7.36746,6.54449,8.61496,8.78588,7.90425,7.17175,8.88518,5.71859,8.31571,7.51632,9.057,7.80271,7.72756,8.04692,6.7992,6.45533,7.56422,7.50502,7.7853,7.37063,8.30208,7.58946,7.62366,8.9264,7.10892,7.33898,7.39222,6.89417
"DDX1",10.87875,10.53984,10.98832,11.28259,11.29158,10.73497,10.28692,11.26959,11.289,10.47286,10.73977,11.20132,10.67785,10.86657,10.59544,11.24291,11.03046,10.87524,10.96933,10.74216,10.53331,10.96718,10.3318,10.95185,10.76066,10.88539,11.08889,11.36789,11.30431,10.86564,10.83893,10.98457,10.83254,11.19757,11.61824,11.51849,11.39754,10.92662,10.57643,11.29763,10.52156,10.88921,11.01702,10.83233,11.39097,10.64285,10.56638,10.84431,11.4712,10.95247,10.55562,10.55478,11.2631,10.24645,11.44865,10.99218,11.22186,11.25581,10.71334,10.64568,12.0532,10.99475,10.48649,10.73516,10.92871,10.1968,11.27029,11.19946,10.58719,10.82394,11.71778,10.52402,11.08254,11.53761,11.18887,10.52834,10.30942,10.8249,10.95855,10.46007,11.25027,10.64469,10.74636,11.59166,11.06856,10.04944,10.68833,10.9324,10.78301,10.57214,11.00469,10.97674,10.57369,10.48068,10.61337,10.68504,10.99535,12.04881,11.41128,10.78566
"SPRY4",6.64197,8.05505,5.89479,6.70291,7.10041,6.75732,7.45927,6.91179,6.6352,7.36199,7.68064,6.98413,7.17296,7.21565,6.13405,6.90594,7.08535,7.10851,6.15679,6.40672,7.03727,7.03704,8.22978,6.40393,7.34004,6.67755,7.83162,6.22268,6.28861,6.23825,9.153,7.11417,7.81722,6.94462,7.21554,6.40298,6.99837,6.49921,7.93092,6.79972,7.33924,6.62602,6.77542,7.0094,7.55091,6.98542,8.96901,7.12575,6.27896,6.62138,7.35439,6.96341,6.73221,8.65622,6.93764,6.34586,6.71427,7.10166,8.34525,8.5359,6.78152,7.38137,7.25658,8.35111,7.348,6.58107,6.64271,7.24618,7.05846,7.54687,6.49515,8.97212,6.63137,6.36349,6.73388,7.38041,7.39392,6.37346,7.17841,6.30728,7.0283,7.37233,7.05909,7.00272,6.34639,7.59247,7.6775,6.45629,7.45848,7.19072,6.32589,6.85667,6.91206,7.14525,6.74354,7.7429,7.0481,6.66336,6.84374,7.40242
"C20orf141",5.60082,5.7784,5.70358,5.65502,6.15371,5.85271,5.81858,5.50936,6.15629,5.76183,6.02632,6.08334,5.78388,6.28463,5.66218,5.9361,5.50067,5.54656,6.18185,6.00618,5.51964,5.7445,6.05395,5.60475,5.72721,5.48305,6.10305,5.46335,5.77214,5.35101,6.10806,5.97748,6.39855,6.09822,5.92605,5.54238,6.29752,5.66389,5.76776,5.72415,5.89263,6.36765,5.69206,6.07037,5.87143,5.89778,5.51915,5.95001,6.09521,6.33934,5.90979,5.67299,5.85894,5.89427,6.15181,5.7954,6.02917,6.54975,6.00931,5.98423,5.76631,5.79758,5.96182,5.56526,6.21647,6.00386,6.0789,6.06585,6.92409,6.12379,6.2691,6.13001,5.94504,5.8907,5.64561,5.69795,5.87838,5.78936,5.91602,5.64808,6.24199,5.85594,6.44115,5.71995,5.89593,5.33778,6.50112,5.96573,5.76491,5.55202,5.90333,5.76201,6.28356,5.72219,5.88783,5.77936,6.05986,5.84359,5.86591,5.86701
"XRCC2",7.0536,6.52544,7.61474,7.30161,7.35548,6.61762,6.80968,6.72696,6.9641,6.8877,6.99826,6.94534,7.07579,7.55682,6.63336,6.66007,7.08803,6.57812,7.10451,6.86171,7.36318,6.82287,7.07329,6.61069,6.66868,6.47794,7.1784,6.90652,7.30683,7.09398,6.72737,7.34564,7.79148,7.16286,6.82019,6.8527,7.12657,7.04844,6.78302,6.56425,6.47866,7.67022,6.87963,6.68359,7.25211,6.39267,6.44573,7.08165,7.16464,7.40788,6.75488,7.03046,6.81231,7.46374,6.52673,6.25889,6.84863,7.92338,7.07281,6.7243,7.45281,6.59353,7.09575,7.73876,7.34224,6.66921,7.25419,6.81441,6.69698,7.20087,7.125,7.23041,6.3264,7.06171,6.93107,6.89175,6.42744,6.44009,7.00477,6.9971,7.03021,6.86866,7.45465,7.40063,6.7372,7.04737,6.19862,7.35678,6.49123,6.52127,6.86239,6.6843,7.48141,6.69373,6.84691,6.36708,6.8324,6.83026,6.82306,7.21183
"XRN1",8.18955,7.47601,7.99489,8.19236,7.43403,7.76686,7.9031,7.01866,7.23929,7.82317,8.01843,7.75077,7.19095,6.53876,7.45502,7.33439,8.50133,6.67788,8.52899,8.22228,8.1034,7.45477,7.22902,7.75024,7.21649,7.5477,7.72621,7.44671,7.98657,8.46748,6.50631,7.52381,7.7577,7.56939,7.40171,7.69116,6.94241,7.7103,7.58848,7.85111,7.51,7.8103,7.25684,7.30697,7.26088,7.35609,8.06144,7.5023,8.38549,8.33692,6.98154,7.75198,8.2202,7.5915,7.73057,7.43841,7.38074,7.11484,7.22249,7.43805,7.43555,8.07415,7.278,7.62162,7.48299,8.68692,7.24964,7.78058,7.78627,7.20432,7.77208,7.08372,7.82837,7.61772,7.8632,7.4384,7.31501,8.05358,7.33465,8.09033,8.1685,7.62369,7.69462,6.85891,7.97954,7.38709,7.76247,7.14295,7.63842,7.32108,7.79943,7.82488,7.78339,7.2933,7.55976,7.01821,7.33388,7.15352,7.71542,6.89985
"ABCG8",4.81508,4.85939,5.37331,5.16885,5.19897,5.56269,5.10117,5.08174,5.16938,5.06065,5.25722,5.21504,5.07268,5.28939,5.07439,5.35339,5.26,5.004,5.41275,5.12337,5.04448,4.99987,5.011,5.19629,4.66014,4.92436,4.79441,5.08547,5.20487,4.76505,4.81112,5.20248,5.54265,5.41854,5.23446,4.97225,5.1432,4.9275,4.60853,5.12398,4.93838,5.28637,5.11743,5.20513,5.16073,5.07781,4.8605,5.31346,5.1785,4.77261,5.35202,5.10437,5.16739,5.49851,5.10075,4.91025,5.01129,5.74981,5.34167,4.99478,4.85576,5.23798,5.00623,5.03218,5.16653,4.94232,5.03019,4.99153,5.49322,5.29049,5.37529,5.10314,4.95117,5.09946,4.99174,4.87514,5.11676,4.92466,5.23339,4.88898,4.8994,5.07917,5.41645,5.04006,4.98917,4.99188,5.51433,5.25834,5.03892,4.86554,4.80811,5.02328,5.24812,5.06744,5.26857,5.08575,5.27094,5.40327,5.04977,4.94564
"TMEM43",8.81772,10.1179,8.49085,9.14895,7.81972,9.13759,9.27106,9.21725,7.98843,9.20444,9.9462,8.78638,8.18337,9.26518,8.73753,9.17811,8.80864,8.75181,8.61128,9.0215,9.30546,8.96805,8.41586,9.429,9.13831,9.8379,9.39479,7.99717,8.68313,9.16191,9.28112,8.10815,8.84486,9.00997,8.81156,8.8934,8.97495,9.18927,9.40411,8.47394,8.79754,8.21973,9.38321,8.73185,9.43587,9.03098,8.6615,7.81496,8.85195,9.22686,9.22721,8.65495,9.20104,8.63474,8.50096,9.74462,8.08356,8.72619,9.11035,9.849,9.36241,8.77139,8.75936,9.22593,9.03682,8.96893,9.35615,9.37203,8.86508,9.35394,9.25856,9.69151,8.71905,9.33036,8.81011,9.45928,9.65918,8.47955,9.41321,8.59616,9.01291,8.82928,8.98681,8.64424,8.37025,8.40369,8.55683,8.82286,9.28653,9.44616,8.61865,9.1769,7.95195,9.52316,9.6173,9.22695,9.45303,8.86935,8.88811,8.24366
"MS4A2",6.06039,5.0394,3.97941,4.20153,3.8085,6.94954,5.86076,4.35526,4.18211,4.4949,6.03417,5.41158,3.90808,4.1977,3.99019,5.09576,4.5823,5.59027,5.46535,4.1673,4.62651,4.64284,4.39802,4.83753,4.68667,4.12683,4.33985,3.78512,4.459,4.80513,5.61855,4.17147,4.1166,4.39073,4.43382,3.99225,4.26219,4.71829,5.97046,4.65537,4.12183,4.45189,5.15208,5.21894,4.10689,4.32143,3.77461,4.19621,4.65809,3.90031,7.43871,4.38739,4.35496,5.08977,4.90361,5.00231,4.06361,4.57722,5.27254,5.6804,4.28579,4.97913,5.08385,4.27275,4.5096,5.20401,4.53197,4.15337,4.26211,5.60038,4.00537,5.26197,4.05022,4.50813,4.35632,5.06039,5.75148,4.77601,5.30195,3.84097,4.98312,4.6604,4.33315,4.34685,4.27074,5.07704,4.78497,3.91197,4.44205,5.27938,3.97898,4.49921,4.24676,4.81454,5.35945,4.75274,5.03964,4.31284,4.22631,4.1903
"ZNF394",7.47229,7.06202,6.74227,7.57732,6.98017,7.54345,7.10561,6.98695,7.00516,7.14462,7.22271,7.87211,6.87054,7.67415,7.21809,6.98619,6.82877,7.76082,7.3154,7.15868,7.17483,6.79739,6.97617,7.21043,7.4248,7.46738,7.0346,6.99381,7.63941,7.37569,7.64646,7.21521,7.06164,7.24197,6.90128,7.71769,7.63298,7.1293,7.13707,6.80326,7.46418,6.62009,7.19913,6.87084,7.41936,6.93103,7.00486,6.98001,7.39176,7.14238,6.96642,6.89379,6.94929,7.12413,7.20792,7.18062,6.98203,7.2792,6.94888,7.19735,7.09121,7.61724,7.29196,7.26282,7.06926,6.89425,7.32147,6.95188,7.24273,7.53375,7.34485,7.44138,6.83634,6.75284,6.97349,7.31426,7.40903,7.28098,6.70145,7.53194,7.13275,6.79933,7.19353,7.68686,7.57023,7.02609,6.90365,6.83,6.92095,7.1204,6.74829,6.84703,7.28064,7.08711,6.74932,7.08524,7.21798,7.53046,7.04922,7.07743
"GPR171",7.10812,6.45122,5.71711,6.04839,7.1613,7.44671,7.06234,6.12641,7.73831,7.90135,6.66217,6.81774,5.95586,5.93237,7.31159,6.28298,6.32594,6.45623,7.63522,8.11391,7.41123,6.87765,6.6318,5.723,6.81624,4.73616,8.56026,6.73804,6.86914,6.40868,7.57101,5.08539,6.9877,6.53501,5.82348,4.8759,6.85633,6.30962,7.45986,6.69519,7.92502,7.77177,5.45727,7.89483,10.05981,6.75613,7.33731,5.75961,5.23683,6.56526,7.43712,6.53284,7.06908,7.97803,7.07926,4.6665,6.74012,7.72603,6.3226,7.94798,4.51005,5.44067,8.58146,6.26703,7.01155,7.19536,5.72158,7.01117,8.01123,8.80743,9.0743,5.70033,7.1809,6.20398,7.65362,7.7642,7.84351,8.29732,5.44651,8.11415,8.5673,7.85733,8.22155,6.45997,7.76083,6.90134,5.50526,6.29362,6.32525,7.56997,6.95479,7.02108,8.02668,7.93341,6.57255,6.30823,5.11994,6.94219,7.12676,6.36669
"LOR",4.93008,5.15163,5.05686,6.26117,5.35384,5.5345,5.08937,5.28687,5.15726,5.10717,5.63999,5.24019,5.09256,6.69222,5.28613,9.86845,5.50252,5.4077,5.3797,5.27262,5.20836,5.19869,5.18718,6.47482,5.13011,5.3764,5.72627,5.14281,4.97562,5.6404,5.03829,5.05157,5.22886,5.69179,5.45156,6.04899,5.7611,5.27773,4.84263,5.3557,5.35475,4.97006,5.22639,5.08459,5.40362,5.17732,4.86399,5.25834,6.14027,5.32589,5.40927,5.0579,5.10016,5.3342,5.21369,5.23532,5.47651,5.46652,5.1913,5.44196,5.0788,5.44286,5.27412,5.07847,5.38723,5.46529,5.10516,4.97685,5.7617,5.48193,5.77642,5.3968,5.30161,5.52109,4.96045,5.17012,5.26961,5.23792,4.95997,5.26454,5.24814,5.27523,5.42648,5.13391,5.60207,5.15275,5.24172,5.27121,5.09757,4.8478,5.12824,5.10418,5.56458,5.1679,5.21079,5.35742,5.49466,5.48169,5.23974,5.30974
"ADH1C",12.09569,5.356,4.62634,4.39225,4.21284,9.0779,7.25005,4.50645,4.91371,4.88051,5.88642,5.15404,4.98975,5.27174,4.82931,4.19639,4.77752,10.38479,12.56277,4.5039,4.66097,5.91347,5.53128,4.54802,5.59455,4.45551,4.6456,7.78072,12.60021,9.39775,4.68341,4.24309,4.64403,4.05135,4.82285,8.09003,4.47325,4.53171,7.06154,4.39738,4.83568,8.91749,4.91355,4.80092,8.6275,4.97078,4.49533,5.96227,11.86404,5.81957,6.62188,6.80465,4.89264,10.02441,4.87479,6.77054,6.04164,4.67083,7.02781,10.66914,9.54679,5.35459,7.7399,6.23079,3.9276,6.73916,6.70822,4.79083,4.8471,4.23682,4.13664,7.32503,4.37353,4.97182,10.70591,5.51793,5.12358,10.51354,8.53918,5.02369,4.49643,4.39721,4.76959,4.66301,12.51049,7.97197,6.86061,6.93035,4.86748,8.09785,9.2139,5.23576,4.93809,6.18965,6.36485,5.92202,9.63877,4.2275,4.47881,4.13346
"ANGEL1",6.87102,6.87714,7.20661,7.21531,6.91705,6.89875,6.70677,6.67067,7.23215,6.96165,6.99634,7.24371,7.64985,7.68788,7.11128,6.97671,6.66977,6.89069,7.25466,6.78754,6.9651,7.32374,7.17757,6.82793,7.12057,6.80935,7.11323,6.90115,6.92325,6.83889,7.28284,6.64142,7.30114,7.38216,7.40327,7.08866,6.82189,6.77634,6.8364,6.62538,6.82067,7.32222,6.90217,7.09023,6.96883,6.82866,7.08645,7.00268,6.57314,6.69262,7.18299,7.09267,6.84977,7.07057,7.03484,6.92403,7.34516,7.22261,7.08128,6.89525,7.25761,6.42555,7.17695,6.91789,7.09681,6.52233,7.12545,6.93865,7.15841,7.32538,7.04912,6.88481,7.25219,7.07366,7.05708,6.52103,6.73487,6.96406,6.87555,7.32392,6.76406,6.67072,7.15763,7.26878,6.81005,6.91036,6.53319,7.64302,7.13975,6.69704,6.75785,7.06366,7.02432,7.03404,6.75109,6.90537,6.69706,6.80907,6.70495,6.95548
"STRIP1",8.11193,7.97035,8.60944,7.2618,8.04534,7.49322,7.64435,7.63264,7.36136,8.07335,7.8568,7.28044,8.26063,7.91403,7.9825,7.66933,8.47102,7.75213,7.80657,6.84281,7.74003,7.89375,7.93461,7.77055,8.12568,7.62357,7.75316,7.29923,7.96722,7.97404,8.8018,7.59647,7.08043,7.24125,7.33108,8.57702,7.6311,7.48871,7.87069,7.79195,8.25834,8.03133,8.26338,7.42251,7.85578,8.16156,7.8938,7.70266,7.87447,7.83119,7.54701,8.08595,7.45784,7.53502,7.39851,8.09756,8.03978,7.66112,7.86369,7.20877,8.37213,7.67444,7.82647,8.38984,7.64804,7.01685,6.82101,7.89095,7.61175,7.25477,7.57242,7.55514,7.67604,8.25914,8.21414,8.33127,7.66006,7.64241,7.7518,8.43259,7.92913,7.90067,7.77885,7.98664,7.77653,7.98176,7.86523,7.78087,8.08726,7.95055,7.93367,7.87967,7.58333,8.07023,7.26057,8.38374,7.29076,7.09425,7.63309,7.41589
"MYLK",9.72301,10.56332,9.35,10.69722,10.00952,11.27677,10.02576,10.33652,9.37221,10.02918,9.63597,10.53431,9.59665,7.6844,8.66245,9.70577,11.27375,10.44048,10.88762,9.53976,10.58019,10.06653,10.79896,10.35382,10.05517,10.51596,9.72933,10.47174,10.46592,9.5303,10.31884,10.89974,11.03728,9.39883,9.77407,10.60451,10.84988,11.4377,10.82548,9.80228,9.816,9.51876,10.29721,10.53206,9.45576,10.61542,10.50982,9.85934,9.99802,9.09749,11.33493,10.35187,11.52753,10.11132,10.2468,10.67137,9.40397,9.67155,10.47973,11.25422,8.31356,10.4573,10.11187,8.75237,11.63001,11.0243,9.87607,9.80277,10.23616,9.42398,9.98139,9.59249,10.72702,10.09456,9.85152,9.95931,9.95473,9.94951,9.81614,9.63007,9.70658,10.44845,11.5796,8.37693,9.58079,10.10787,10.44733,8.8686,10.57224,10.51627,8.42406,10.74437,9.99433,10.4768,10.62911,10.28686,11.15674,9.9589,9.73956,9.08689
"MYOM1",5.25542,5.37343,7.19062,5.28204,5.45144,5.03885,5.21849,5.12999,4.97805,5.24249,5.77596,5.40298,5.51084,5.55331,5.71643,5.03948,5.15812,5.56358,6.05861,5.35228,5.35405,5.81225,5.22997,5.02363,5.54414,5.27286,5.77042,5.01061,5.48149,5.20434,5.24263,5.61616,5.21709,5.57898,5.21494,5.58254,4.84549,5.10729,5.94428,5.28549,5.2431,7.00464,5.17436,5.63223,5.53314,6.03094,5.62682,5.69242,5.93835,5.39187,5.50636,5.39479,5.42865,5.4597,5.39381,5.97289,5.40416,5.53491,5.11628,5.33098,5.58467,5.29926,5.51616,5.91013,5.18246,5.41247,5.91379,5.65711,5.30584,5.60103,5.77416,5.60845,5.72109,5.25787,5.56092,5.91166,5.29967,5.36714,5.53641,5.29896,5.66098,5.43358,5.70777,5.47037,5.76674,5.67886,5.42687,5.8896,5.53913,5.23415,5.49293,5.49623,6.53105,5.76641,5.18559,5.7639,5.23264,5.67305,5.6787,6.82656
